id,key,value,type
410458924,highway,bus_stop,regular
410458924,location,Admiralty Road East,regular
410458924,name,Before Prison Training School,regular
410458924,route_ref,169,regular
410459107,asset_ref,47051,regular
410459107,highway,bus_stop,regular
410459107,location,Admiralty Road West,regular
410459107,name,IM Flash Singapore,regular
410459107,route_ref,856,regular
410459207,asset_ref,52479,regular
410459207,highway,bus_stop,regular
410459207,location,Ah Hood Road,regular
410459207,name,Opposite EASB,regular
410459207,route_ref,139,regular
410459272,asset_ref,95159,regular
410459272,highway,bus_stop,regular
410459272,location,Airport Boulevard,regular
410459272,name,Near SATS Flight Kitchen,regular
410459272,route_ref,24;27;34;53;858,regular
410459332,asset_ref,71171,regular
410459332,highway,bus_stop,regular
410459332,location,Airport Road,regular
410459332,name,Blk 1022,regular
410459332,route_ref,90;93;151,regular
410459464,asset_ref,15051,regular
410459464,highway,bus_stop,regular
410459464,location,Alexandra Road,regular
410459464,name,Alexandra Point,regular
410459464,route_ref,51;57;61;93;97;97e;100;120;166;175;408;963;963E,regular
410459480,asset_ref,70039,regular
410459480,highway,bus_stop,regular
410459480,location,Aljunied Road,regular
410459480,name,Aljunied Park,regular
410459480,route_ref,61;62;64;65;66;100;135;154;155,regular
410459504,asset_ref,67371,regular
410459504,highway,bus_stop,regular
410459504,location,Anchorvale Road,regular
410459504,name,Blk 313 Carpark,regular
410459504,route_ref,50;372,regular
410459647,asset_ref,54069,regular
410459647,highway,bus_stop,regular
410459647,location,Ang Mo Kio Avenue 1,regular
410459647,name,Opposite Blk 246,regular
410459647,route_ref,132;165;166;169,regular
410459670,asset_ref,54389,regular
410459670,highway,bus_stop,regular
410459670,location,Ang Mo Kio Avenue 10,regular
410459670,name,Blk 465,regular
410459670,route_ref,45;55;261;548;CT8,regular
410459715,asset_ref,54269,regular
410459715,highway,bus_stop,regular
410459715,location,Ang Mo Kio Avenue 3,regular
410459715,name,Opposite Ang Mo Kio Station,regular
410459715,route_ref,1N;25;73;74;74e;76;88;132;165;261;268;CT8,regular
410459715,shelter,yes,regular
410459791,asset_ref,54281,regular
410459791,highway,bus_stop,regular
410459791,location,Ang Mo Kio Avenue 3,regular
410459791,name,Blk 570,regular
410459791,route_ref,25;73;74;74e;76;88;132;165;261;268;549;CT8,regular
410459807,asset_ref,54191,regular
410459807,highway,bus_stop,regular
410459807,location,Ang Mo Kio Avenue 4,regular
